variante,tamanho_chunk,N,K,numero_threads,tempo
2,4,500000,28,16,16.555207
2,4,500000,28,16,16.564879
2,4,1000000,20,1,1.783555
2,4,1000000,20,1,1.553575
2,4,1000000,20,1,1.734871
2,4,1000000,20,1,1.483787
2,4,1000000,20,1,1.557335
2,4,1000000,20,2,0.936212
2,4,1000000,20,2,0.803330
2,4,1000000,20,2,0.783873
2,4,1000000,20,2,0.924073
2,4,1000000,20,2,0.890944
2,4,1000000,20,4,0.773568
2,4,1000000,20,4,0.821897
2,4,1000000,20,4,0.916782
2,4,1000000,20,4,0.908934
2,4,1000000,20,4,0.908344
2,4,1000000,20,8,0.908210
2,4,1000000,20,8,0.908274
2,4,1000000,20,8,0.911517
2,4,1000000,20,8,0.908883
2,4,1000000,20,8,0.913163
2,4,1000000,20,16,0.908950
2,4,1000000,20,16,0.908837
2,4,1000000,20,16,0.924297
2,4,1000000,20,16,0.908636
2,4,1000000,20,16,0.909636
2,4,1000000,24,1,9.144834
2,4,1000000,24,1,9.433511
2,4,1000000,24,1,9.743239
2,4,1000000,24,1,9.729671
2,4,1000000,24,1,9.844634
2,4,1000000,24,2,5.071883
2,4,1000000,24,2,5.171938
2,4,1000000,24,2,5.261988
2,4,1000000,24,2,5.259591
2,4,1000000,24,2,5.245918
2,4,1000000,24,4,5.471111
2,4,1000000,24,4,5.457848
2,4,1000000,24,4,5.478582
2,4,1000000,24,4,5.458084
2,4,1000000,24,4,5.475866
2,4,1000000,24,8,5.485063
2,4,1000000,24,8,5.478072
2,4,1000000,24,8,5.471352
2,4,1000000,24,8,5.480880
2,4,1000000,24,8,5.479018
2,4,1000000,24,16,5.470628
2,4,1000000,24,16,5.482263
2,4,1000000,24,16,5.467985
2,4,1000000,24,16,5.479968
2,4,1000000,24,16,5.471538
2,4,1000000,28,1,59.068139
2,4,1000000,28,1,56.427979
2,4,1000000,28,1,56.414707
2,4,1000000,28,1,57.085161
2,4,1000000,28,1,54.599466
2,4,1000000,28,2,31.372864
2,4,1000000,28,2,32.461839
2,4,1000000,28,2,32.570476
2,4,1000000,28,2,32.603362
2,4,1000000,28,2,32.641101
2,4,1000000,28,4,33.051421
2,4,1000000,28,4,33.049740
2,4,1000000,28,4,33.070917
2,4,1000000,28,4,33.062724
2,4,1000000,28,4,33.053571
2,4,1000000,28,8,33.129984
2,4,1000000,28,8,33.126565
2,4,1000000,28,8,33.127367
2,4,1000000,28,8,33.202184
2,4,1000000,28,8,33.115844
2,4,1000000,28,16,33.142574
2,4,1000000,28,16,33.145416
2,4,1000000,28,16,33.129582
2,4,1000000,28,16,33.196851
2,4,1000000,28,16,33.140196
2,16,100000,20,1,0.185399
2,16,100000,20,1,0.184255
2,16,100000,20,1,0.184161
2,16,100000,20,1,0.185160
2,16,100000,20,1,0.178803
2,16,100000,20,2,0.092589
2,16,100000,20,2,0.090018
2,16,100000,20,2,0.089685
2,16,100000,20,2,0.092451
2,16,100000,20,2,0.090746
2,16,100000,20,4,0.078915
2,16,100000,20,4,0.079877
2,16,100000,20,4,0.079477
2,16,100000,20,4,0.079142
2,16,100000,20,4,0.079037
2,16,100000,20,8,0.079948
2,16,100000,20,8,0.078672
2,16,100000,20,8,0.078914
2,16,100000,20,8,0.078849
2,16,100000,20,8,0.080607
2,16,100000,20,16,0.079118
2,16,100000,20,16,0.078981
2,16,100000,20,16,0.080167
2,16,100000,20,16,0.091714
2,16,100000,20,16,0.092061
2,16,100000,24,1,1.102956
2,16,100000,24,1,0.929040
2,16,100000,24,1,0.904772
2,16,100000,24,1,0.885206
2,16,100000,24,1,0.886994
2,16,100000,24,2,0.481447
2,16,100000,24,2,0.485593
2,16,100000,24,2,0.520836
2,16,100000,24,2,0.565747
2,16,100000,24,2,0.562148
2,16,100000,24,4,0.562879
2,16,100000,24,4,0.548293
2,16,100000,24,4,0.547646
2,16,100000,24,4,0.548743
2,16,100000,24,4,0.547456
2,16,100000,24,8,0.548234
2,16,100000,24,8,0.547791
2,16,100000,24,8,0.548186
2,16,100000,24,8,0.548213
2,16,100000,24,8,0.552614
2,16,100000,24,16,0.548996
2,16,100000,24,16,0.549332
2,16,100000,24,16,0.549555
2,16,100000,24,16,0.547723
2,16,100000,24,16,0.549450
2,16,100000,28,1,5.546833
2,16,100000,28,1,5.361192
2,16,100000,28,1,5.947050
2,16,100000,28,1,5.960090
2,16,100000,28,1,5.348668
2,16,100000,28,2,3.305281
2,16,100000,28,2,3.093363
2,16,100000,28,2,3.074739
2,16,100000,28,2,3.298954
2,16,100000,28,2,3.147662
2,16,100000,28,4,3.314317
2,16,100000,28,4,3.307614
2,16,100000,28,4,3.318221
2,16,100000,28,4,3.309887
2,16,100000,28,4,3.309121
2,16,100000,28,8,3.371624
